,Loc,Loc_Name,Loc Purp Desc,Loc/QTI,DC,Operating_Capacity,Total_Scheduled_Quantity,OAC,Loc_Zn,IT,Flow_Ind_Desc,State,County,Operator,OBA,G/T,Miles,EGM,Flw Cntl,All Qty Avail,Qty Reason,Cycle_Desc,Eff_Gas_Day,TSP
111,82034   ,JOPPA PLANT - EEI,Delivery Location,DPQ,38000,38000,1850,36150,Z1B     ,Y,D,IL      ,MASSAC,"Electric Energy, Inc.",N,T,538,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
112,82035   ,CROSSROADS - NIPSCO,Delivery Location,DPQ,100000,100000,775,99225,Z-2     ,Y,D,IN      ,ST JOSEPH,Crossroads Pipeline Company,Y,T,889,N,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
113,82036   ,LAFARGE - LIBERTY ENERGY (MIDSTATES),Delivery Location,DPQ,1900,1900,1,1899,Z1B     ,N,D,IL      ,MASSAC,Liberty Utilities (Midstates Natural Gas) Corp.,N,T,538,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
114,82037   ,HONEYWELL - LIBERTY ENERGY (MIDSTATES),Delivery Location,DPQ,1647,1647,0,1647,Z1B     ,N,D,IL      ,MASSAC,Liberty Utilities (Midstates Natural Gas) Corp.,N,T,538,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
115,82041   ,WEST PADUCAH - ATMOS ENERGY,Delivery Location,DPQ,20000,20000,2501,17499,Z1B     ,N,D,KY      ,MC CRACKEN,Atmos Energy Corporation,Y,T,533,Y,N,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
116,82044   ,CLECO RODEMAKER INTERCONNECT,Delivery Location,DPQ,120000,120000,0,120000,Z1A     ,N,D,LA      ,RAPIDES,CLECO Power LLC,N,T,63,Y,N,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
117,82045   ,BYHALIA - FARLEY ROAD (311),Delivery Location,DPQ,10000,10000,1985,8015,Z1A     ,N,D,MS      ,MARSHALL,"Town of Byhalia, Mississippi",N,T,373,Y,N,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
118,82049   ,SOUTH MISSISSIPPI ELECTRIC POWER,Delivery Location,DPQ,240000,240000,0,240000,Z1A     ,N,D,MS      ,PANOLA,South Mississippi Electric Power Association,N,T,328,Y,N,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
119,82050   ,SHELBY COUNTY GENERATION STATOIN,Delivery Location,DPQ,87000,87000,0,87000,Z1B     ,N,D,IL      ,CUMBERLAND,"Shelby County Energy Center, LLC",N,T,688,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
120,82051   ,MIDWEST ELECTRIC POWER #1 - MIDWEST,Delivery Location,DPQ,165000,165000,0,165000,Z1B     ,Y,D,IL      ,MASSAC,"Electric Energy, Inc.",N,T,538,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
121,82052   ,MIDWEST ELECTRIC POWER #2 - MIDWEST,Delivery Location,DPQ,165000,165000,0,165000,Z1B     ,N,D,IL      ,MASSAC,"Midwest Electric Power, Inc.",N,T,538,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
122,82055   ,MARION GENERATING STATION - SIPC,Delivery Location,DPQ,68000,68000,0,68000,Z1B     ,N,D,IL      ,WILLIAMSON,Southern Illinois Power Cooperative,N,T,567,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
123,82056   ,SEED INTERCONNECT - PIONEER HI-BRED,Delivery Location,DPQ,4200,4200,0,4200,Z-2     ,N,D,IL      ,CHAMPAIGN,"Pioneer Hi-Bred International, Inc.",N,T,750,Y,N,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
124,82058   ,RACCOON CREEK - UNION ELECTRIC DBA AMEREN MISSOURI ,Delivery Location,DPQ,85000,85000,0,85000,Z1B     ,N,D,IL      ,CLAY,Union Electric Company dba Ameren Missouri,N,T,642,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
125,82503   ,TRANSPORT - FLORIDA GAS,Delivery Location,DPQ,200000,0,0,0,FLD     ,N,D,LA      ,CALCASIEU,Florida Gas Transmission Company,Y,T,-23,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
