,Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
146,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59179,ORUD KINGSTON,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"25,317","25,317",0,"25,317",EAST TENN,7921323
147,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59181,MORGANTON CEMETERY ROAD,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"2,419","2,419",0,"2,419",EAST TENN,7921323
148,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59182,BEDFORD COUNTY UTILITY DISTRICT,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"6,009","6,009",600,"5,409",EAST TENN,7921323
149,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59183,Fayetteville Gas System,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"20,849","20,894","6,041","14,853",EAST TENN,7921323
150,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59184,ROYAL ORDNANCE-HOLSTON ARMY AMMUNITION PLANT,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"7,063","7,063",0,"7,063",EAST TENN,7921323
151,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59185,UCG - GLADE HIGHLANDS,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"10,390","10,390",0,"10,390",EAST TENN,7921323
152,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59186,"ETOWAH METER STATION - MCMINN CO., TN",,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"20,849","20,849","5,500","15,349",EAST TENN,7921323
153,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59187,HAWKINS CO. #2,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"15,285","15,285",621,"14,664",EAST TENN,7921323
154,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59188,"Oak Ridge - ROANE CO., TN",,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"17,190","17,190",0,"17,190",EAST TENN,7921323
155,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59189,Lewisburg Gas - Industrial Park,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"24,533","24,533",300,"24,233",EAST TENN,7921323
156,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59190,"MD RECYCLING TECHNOLOGIES - GREENE CO., TN",,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"7,765","7,765",0,"7,765",EAST TENN,7921323
157,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59192,United Cities - Wolf Hills Power Plant,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"104,965","104,965","7,500","97,465",EAST TENN,7921323
